cusno,last_purchase,first_purchase,frequency,monetary,margin,recency_days,cusnm,area,kind,R_score,F_score,M_score,RFM_sum,segment
CUS_00079,2022-04-02,2021-12-27,2,30250.0,14704.4,1470,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00503,2023-08-01,2022-02-26,2,29900.0,14699.2,984,[已隱蔽],,一般,3,4,5,12,Others
CUS_00262,2025-08-19,2024-02-04,2,29500.0,16250.0,235,[已隱蔽],,一般,5,4,5,14,Champions 黃金客
CUS_00430,2024-08-16,2024-07-28,2,29000.0,12700.0,603,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00177,2023-08-12,2023-07-13,2,28950.0,18927.0,973,[已隱蔽],,一般,3,4,5,12,Others
CUS_00058,2025-07-01,2021-07-02,6,28700.0,18978.0,284,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00556,2025-04-02,2021-03-05,7,28600.0,11500.0,374,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00158,2022-11-25,2021-01-13,4,28450.0,19003.0,1233,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00691,2025-08-05,2021-06-12,6,28300.0,14545.0,249,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00074,2026-01-07,2020-08-18,42,28190.0,13710.4,94,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00532,2025-06-05,2023-12-16,3,28000.0,11481.0,310,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00020,2025-11-14,2021-01-13,3,27800.0,15164.0,148,[已隱蔽],,一般,5,4,5,14,Champions 黃金客
CUS_00442,2025-12-16,2022-12-08,5,27600.0,14260.0,116,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00035,2025-12-03,2022-12-26,5,26700.0,9720.0,129,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00340,2024-03-13,2024-01-25,2,26300.0,14450.0,759,[已隱蔽],,一般,3,4,5,12,Others
CUS_00272,2024-01-13,2022-12-24,3,26300.0,12820.0,819,[已隱蔽],,一般,3,4,5,12,Others
CUS_00085,2024-06-28,2022-05-13,6,26150.0,17210.0,652,[已隱蔽],,一般,3,5,5,13,Others
CUS_00159,2022-07-29,2021-09-24,3,26050.0,13959.0,1352,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00148,2023-07-22,2023-03-23,2,26000.0,12000.0,994,[已隱蔽],,一般,3,4,5,12,Others
CUS_00321,2023-12-29,2022-12-10,3,26000.0,14200.0,834,[已隱蔽],,一般,3,4,5,12,Others
CUS_00151,2023-01-13,2022-08-31,2,25300.0,10355.0,1184,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00311,2022-11-17,2022-11-17,1,24500.0,10000.0,1241,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00116,2024-05-22,2024-05-22,1,24300.0,12325.0,689,[已隱蔽],,一般,3,2,5,10,Others
CUS_00006,2025-06-11,2021-03-10,3,24000.0,13620.0,304,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00072,2023-11-30,2023-03-31,3,23900.0,11215.0,863,[已隱蔽],,一般,3,4,5,12,Others
CUS_00028,2022-03-22,2022-01-19,3,23800.0,10016.0,1481,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00495,2024-08-21,2022-09-14,5,23700.0,15070.0,598,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00598,2025-12-08,2020-10-02,25,23650.0,11670.0,124,[已隱蔽],,會員,5,5,5,15,Champions 黃金客
CUS_00389,2023-07-15,2021-06-23,10,23570.0,16185.0,1001,[已隱蔽],,一般,3,5,5,13,Others
CUS_00683,2022-11-22,2022-09-07,3,23550.0,12040.0,1236,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00499,2026-03-19,2024-02-17,5,23500.0,11971.0,23,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00217,2025-08-05,2023-02-21,3,23450.0,14412.0,249,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00618,2026-03-24,2020-11-25,12,23200.0,8923.4,18,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00370,2025-10-27,2020-10-13,8,23140.0,10874.0,166,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00291,2024-10-07,2024-10-07,1,23000.0,11000.0,551,[已隱蔽],,一般,4,2,5,11,New 新客
CUS_00067,2024-03-27,2021-11-05,5,23000.0,9324.8,745,[已隱蔽],,一般,3,5,5,13,Others
CUS_00547,2025-07-15,2025-01-06,3,22900.0,9560.0,270,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00161,2024-08-08,2023-12-29,5,22650.0,12208.0,611,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00479,2024-03-30,2024-03-30,1,22300.0,11760.0,742,[已隱蔽],,一般,3,2,5,10,Others
CUS_00443,2024-08-14,2023-07-26,3,22200.0,12646.4,605,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00044,2025-10-09,2024-07-16,6,22100.0,13677.0,184,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00636,2021-08-07,2020-08-04,4,21900.0,13430.0,1708,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00675,2022-12-09,2022-04-01,2,21300.0,9450.0,1219,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00450,2021-08-10,2020-12-25,3,21150.0,12604.0,1705,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00022,2023-01-04,2022-12-31,2,21100.0,8270.0,1193,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00554,2024-03-11,2020-12-22,9,21050.0,9890.0,761,[已隱蔽],,一般,3,5,5,13,Others
CUS_00502,2022-06-22,2022-01-21,2,21000.0,8875.0,1389,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00444,2025-05-03,2024-05-07,2,20600.0,13010.0,343,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00180,2026-03-10,2022-07-18,5,20500.0,10240.0,32,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00335,2025-07-25,2024-05-11,2,20300.0,8200.0,260,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00081,2023-02-10,2023-02-10,1,20000.0,9276.0,1156,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00084,2025-05-14,2020-08-04,17,19509.0,10655.0,332,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00381,2024-06-07,2023-06-14,2,19500.0,8100.0,673,[已隱蔽],,一般,3,4,5,12,Others
CUS_00704,2026-02-07,2020-08-12,15,19470.0,8960.2,63,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00671,2021-08-26,2021-08-26,1,19400.0,7760.0,1689,[已隱蔽],,一般,1,2,5,8,Lost 已流失
CUS_00334,2025-05-02,2021-11-10,4,19000.0,13528.6,344,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00043,2026-04-10,2026-04-10,1,19000.0,9400.0,1,[已隱蔽],,一般,5,2,5,12,New 新客
CUS_00236,2025-11-03,2021-12-28,8,18550.0,13619.800000000001,159,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00594,2026-02-05,2024-11-19,8,18550.0,9350.0,65,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00108,2025-09-03,2024-04-08,2,18500.0,10520.0,220,[已隱蔽],,一般,5,4,5,14,Champions 黃金客
CUS_00521,2023-05-20,2023-05-20,1,18100.0,6820.0,1057,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00119,2025-12-10,2021-10-26,4,18099.0,10619.0,122,[已隱蔽],,一般,5,4,5,14,Champions 黃金客
CUS_00517,2023-03-15,2023-03-15,1,18000.0,10100.0,1123,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00678,2024-12-02,2020-09-09,6,18000.0,13380.0,495,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00371,2026-02-02,2026-02-02,1,18000.0,10000.0,68,[已隱蔽],,一般,5,2,5,12,New 新客
CUS_00298,2025-06-24,2023-12-06,3,17800.0,8800.0,291,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00121,2021-10-29,2020-12-09,2,17800.0,10657.0,1625,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00105,2022-09-23,2022-09-23,1,17600.0,5700.0,1296,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00624,2021-04-27,2020-11-14,3,17500.0,6900.0,1810,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00013,2025-06-06,2023-05-13,5,17300.0,11653.7,309,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00344,2024-01-17,2024-01-17,1,17000.0,7000.0,815,[已隱蔽],,一般,3,2,5,10,Others
CUS_00666,2021-03-23,2021-03-23,1,16999.0,6129.0,1845,[已隱蔽],,一般,1,2,5,8,Lost 已流失
CUS_00215,2024-02-09,2024-02-09,1,16500.0,7000.0,792,[已隱蔽],,一般,3,2,5,10,Others
CUS_00372,2022-06-16,2022-06-16,1,16500.0,4900.0,1395,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00009,2024-05-18,2021-07-05,7,16450.0,11042.0,693,[已隱蔽],,一般,3,5,5,13,Others
CUS_00355,2024-11-16,2022-01-22,5,16350.0,6550.0,511,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00588,2025-05-14,2020-07-31,13,16350.0,5762.0,332,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00712,2021-06-11,2020-08-28,2,16000.0,8150.0,1765,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00404,2022-11-02,2022-11-02,1,16000.0,9350.0,1256,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00413,2026-03-30,2026-01-16,2,15900.0,8400.0,12,[已隱蔽],,一般,5,4,5,14,Champions 黃金客
CUS_00693,2022-04-15,2020-07-31,10,15850.0,9248.0,1457,[已隱蔽],,一般,2,5,5,12,At Risk 流失中
CUS_00482,2025-09-16,2023-02-22,5,15850.0,9880.0,207,[已隱蔽],,一般,5,5,5,15,Champions 黃金客
CUS_00292,2022-05-19,2022-05-19,1,15700.0,9930.0,1423,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00679,2023-06-15,2023-06-15,1,15700.0,6110.0,1031,[已隱蔽],,一般,3,2,5,10,Others
CUS_00183,2024-11-11,2024-09-12,3,15700.0,9460.0,516,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00150,2025-12-17,2025-12-15,2,15600.0,9941.0,115,[已隱蔽],,一般,5,4,5,14,Champions 黃金客
CUS_00046,2025-08-06,2024-09-25,4,15500.0,7972.0,248,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00098,2023-10-02,2023-10-02,1,15500.0,5600.0,922,[已隱蔽],,一般,3,2,5,10,Others
CUS_00576,2024-11-14,2021-01-02,4,15450.0,10293.0,513,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00326,2025-10-20,2021-04-01,3,15155.0,5525.0,173,[已隱蔽],,一般,5,4,5,14,Champions 黃金客
CUS_00356,2022-09-21,2021-12-10,2,15000.0,9680.0,1298,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00591,2023-04-15,2023-04-15,1,15000.0,5500.0,1092,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00451,2022-04-06,2022-02-23,2,14950.0,8410.0,1466,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00216,2023-10-14,2023-10-14,1,14700.0,6000.0,910,[已隱蔽],,一般,3,2,5,10,Others
CUS_00723,2025-02-08,2021-06-15,5,14650.0,9752.0,427,[已隱蔽],,一般,4,5,4,13,Champions 黃金客
CUS_00016,2024-06-28,2023-06-19,2,14650.0,8200.0,652,[已隱蔽],,一般,3,4,4,11,Others
CUS_00706,2026-01-27,2021-01-14,8,14450.0,9210.4,74,[已隱蔽],,一般,5,5,4,14,Champions 黃金客
CUS_00572,2023-05-25,2020-11-02,7,14250.0,7255.0,1052,[已隱蔽],,一般,2,5,4,11,At Risk 流失中
CUS_00064,2022-04-18,2021-03-01,2,14200.0,7230.0,1454,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00179,2022-09-24,2022-03-31,2,14000.0,5990.0,1295,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00529,2025-08-20,2025-04-02,4,14000.0,8922.0,234,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00165,2022-04-07,2022-04-07,1,14000.0,5800.0,1465,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00309,2024-10-29,2024-01-28,4,13800.0,7760.0,529,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00182,2025-08-06,2024-06-05,4,13750.0,10500.7,248,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00306,2025-10-23,2025-04-08,2,13500.0,7800.0,170,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00448,2025-01-22,2024-02-07,3,13460.0,9610.0,444,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00538,2025-04-16,2024-04-25,3,13450.0,10560.0,360,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00071,2025-12-25,2025-11-15,2,13340.0,4760.0,107,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00587,2020-12-25,2020-09-28,3,13300.0,2080.0,1933,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00239,2021-03-20,2021-01-23,2,13300.0,8052.0,1848,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00664,2026-01-27,2024-12-24,3,13250.0,8360.0,74,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00518,2023-03-20,2023-02-16,2,12800.0,8450.0,1118,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00002,2024-08-10,2024-08-10,1,12700.0,7690.0,609,[已隱蔽],,一般,4,2,4,10,New 新客
CUS_00530,2024-05-14,2023-05-09,4,12700.0,7050.0,697,[已隱蔽],,一般,3,4,4,11,Others
CUS_00514,2022-10-28,2022-07-07,3,12650.0,7175.0,1261,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00038,2024-03-25,2024-03-25,1,12500.0,3700.0,747,[已隱蔽],,一般,3,2,4,9,Others
CUS_00319,2021-02-09,2021-02-09,1,12500.0,1000.0,1887,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00436,2022-07-27,2022-05-05,2,12500.0,6200.0,1354,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00602,2020-12-16,2020-09-25,2,12450.0,8790.0,1942,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00112,2025-06-25,2024-04-01,3,12376.0,7353.0,290,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00437,2020-08-19,2020-08-19,1,12300.0,8250.0,2061,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00490,2022-11-16,2022-09-27,2,12300.0,8251.0,1242,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00424,2021-09-18,2021-01-13,3,12250.0,7543.4,1666,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00042,2024-03-30,2023-04-03,2,12100.0,7060.0,742,[已隱蔽],,一般,3,4,4,11,Others
CUS_00542,2026-03-02,2026-03-02,1,12000.0,6000.0,40,[已隱蔽],,一般,5,2,4,11,New 新客
CUS_00553,2026-02-06,2026-02-06,1,12000.0,7800.0,64,[已隱蔽],,一般,5,2,4,11,New 新客
CUS_00375,2026-02-02,2026-02-02,1,12000.0,6200.0,68,[已隱蔽],,一般,5,2,4,11,New 新客
CUS_00260,2021-05-10,2020-08-05,3,11900.0,6650.0,1797,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00191,2022-02-09,2022-02-09,1,11800.0,3950.0,1522,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00317,2024-01-05,2024-01-05,1,11750.0,6780.0,827,[已隱蔽],,一般,3,2,4,9,Others
CUS_00211,2026-02-11,2020-08-28,2,11700.0,6759.0,59,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00730,2021-07-01,2021-06-07,4,11700.0,7938.5,1745,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00089,2025-10-21,2025-10-20,2,11700.0,5370.0,172,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00192,2021-05-03,2021-05-03,1,11600.0,4785.0,1804,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00266,2021-06-26,2021-06-26,1,11500.0,5750.0,1750,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00647,2023-08-07,2020-12-27,3,11500.0,2890.0,978,[已隱蔽],,一般,3,4,4,11,Others
CUS_00206,2022-12-05,2022-12-05,1,11500.0,4000.0,1223,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00135,2025-05-22,2022-07-22,5,11320.0,4122.0,324,[已隱蔽],,一般,4,5,4,13,Champions 黃金客
CUS_00720,2023-05-20,2022-08-15,3,11200.0,5050.0,1057,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00476,2021-04-23,2021-04-23,1,11000.0,3190.0,1814,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00541,2024-11-21,2024-11-21,1,11000.0,6349.0,506,[已隱蔽],,一般,4,2,4,10,New 新客
CUS_00277,2023-11-23,2023-11-23,1,11000.0,5550.0,870,[已隱蔽],,一般,3,2,4,9,Others
CUS_00512,2023-05-23,2023-03-13,4,10950.0,7292.0,1054,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00391,2023-09-25,2023-07-12,3,10900.0,7546.0,929,[已隱蔽],,一般,3,4,4,11,Others
CUS_00331,2023-06-17,2022-02-21,4,10900.0,6614.0,1029,[已隱蔽],,一般,3,4,4,11,Others
CUS_00030,2025-01-25,2023-11-01,2,10800.0,5201.8,441,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00592,2024-12-15,2024-02-06,2,10800.0,6440.0,482,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00416,2023-12-29,2021-09-20,2,10800.0,6636.4,834,[已隱蔽],,一般,3,4,4,11,Others
CUS_00153,2023-11-21,2023-11-20,2,10800.0,3950.0,872,[已隱蔽],,一般,3,4,4,11,Others
CUS_00041,2023-09-18,2023-09-18,1,10750.0,5200.0,936,[已隱蔽],,一般,3,2,4,9,Others
CUS_00571,2024-12-19,2024-12-11,2,10700.0,7259.0,478,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00692,2020-11-14,2020-11-14,1,10650.0,5360.0,1974,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00251,2025-11-24,2025-11-24,1,10500.0,3700.0,138,[已隱蔽],,一般,5,2,4,11,New 新客
CUS_00672,2026-03-28,2026-03-28,1,10500.0,6700.0,14,[已隱蔽],,一般,5,2,4,11,New 新客
CUS_00055,2021-02-18,2021-02-18,1,10500.0,3600.0,1878,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00012,2025-08-25,2022-04-14,2,10400.0,3850.0,229,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00722,2022-12-28,2020-08-12,3,10300.0,5400.0,1200,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00214,2023-07-04,2022-12-07,2,10299.0,5783.0,1012,[已隱蔽],,一般,3,4,4,11,Others
CUS_00097,2025-11-04,2021-04-29,3,10200.0,6700.0,158,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00498,2022-12-06,2022-11-24,4,10190.0,4801.2,1222,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00531,2023-10-27,2023-10-05,3,10150.0,6330.0,897,[已隱蔽],,一般,3,4,4,11,Others
CUS_00193,2022-11-26,2022-11-26,1,10140.0,5790.0,1232,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00537,2024-09-24,2024-09-24,1,10100.0,6632.0,564,[已隱蔽],,一般,4,2,4,10,New 新客
CUS_00294,2026-02-07,2026-02-07,1,10000.0,4000.0,63,[已隱蔽],,一般,5,2,4,11,New 新客
CUS_00670,2021-04-15,2021-04-15,1,10000.0,3150.0,1822,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00491,2023-06-07,2022-03-23,2,10000.0,7231.8,1039,,,,2,4,4,10,At Risk 流失中
CUS_00357,2024-01-23,2024-01-23,1,10000.0,6000.0,809,[已隱蔽],,一般,3,2,4,9,Others
CUS_00240,2024-08-27,2024-08-27,1,10000.0,6000.0,592,[已隱蔽],,一般,4,2,4,10,New 新客
CUS_00303,2025-09-18,2023-11-14,3,9900.0,7690.0,205,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00411,2025-07-08,2023-12-23,2,9900.0,7310.0,277,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00367,2024-12-13,2021-12-14,7,9880.0,7180.0,484,[已隱蔽],,一般,4,5,4,13,Champions 黃金客
CUS_00094,2024-07-31,2022-09-14,3,9770.0,6061.0,619,[已隱蔽],,一般,3,4,4,11,Others
CUS_00415,2025-10-28,2022-09-15,3,9600.0,7560.0,165,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
CUS_00536,2025-02-24,2025-02-19,2,9600.0,7492.0,411,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00398,2025-12-22,2025-12-22,1,9500.0,3700.0,110,[已隱蔽],,一般,5,2,4,11,New 新客
CUS_00393,2025-10-22,2025-06-11,2,9400.0,5796.4,171,[已隱蔽],,一般,5,4,4,13,Champions 黃金客
